# テストマップ (15x15)
# WW=水, GG=草, FF=森, RD=道, TN=町
WW,WW,WW,GG,GG,GG,GG,GG,GG,GG,GG,GG,WW,WW,WW
WW,WW,GG,GG,FF,GG,GG,GG,GG,GG,FF,GG,GG,WW,WW
WW,GG,GG,GG,GG,GG,GG,RD,GG,GG,GG,GG,GG,GG,WW
GG,GG,GG,RD,RD,RD,RD,RD,RD,RD,RD,RD,GG,GG,GG
GG,GG,FF,RD,GG,GG,GG,TN,GG,GG,GG,RD,FF,GG,GG
GG,GG,GG,RD,GG,FF,GG,RD,GG,FF,GG,RD,GG,GG,GG
GG,GG,GG,RD,GG,GG,GG,RD,GG,GG,GG,RD,GG,GG,GG
RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,GG
GG,GG,GG,RD,GG,GG,GG,RD,GG,GG,GG,RD,GG,GG,GG
GG,GG,GG,RD,GG,FF,GG,RD,GG,FF,GG,RD,GG,GG,GG
GG,GG,FF,RD,GG,GG,GG,RD,GG,GG,GG,RD,FF,GG,GG
GG,GG,GG,RD,RD,RD,RD,RD,RD,RD,RD,RD,GG,GG,GG
WW,GG,GG,GG,GG,GG,GG,RD,GG,GG,GG,GG,GG,GG,WW
WW,WW,GG,GG,FF,GG,GG,GG,GG,GG,FF,GG,GG,WW,WW
WW,WW,WW,GG,GG,GG,GG,GG,GG,GG,GG,GG,WW,WW,WW
